19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
19600,2012-09-11
18600,2013-01-03
19200,2013-01-04
19200,2013-01-05
19200,2013-01-06
19200,2013-01-07
19200,2013-01-08
27000,2013-01-09
27000,2013-01-10
25400,2013-01-11
26000,2013-01-12
26000,2013-01-13
26000,2013-01-14
26000,2013-01-15
28000,2013-01-16
29000,2013-01-17
30000,2013-01-18
31600,2013-01-19
30000,2013-01-20
31600,2013-01-21
31600,2013-01-22
30600,2013-01-23
30600,2013-01-24
30600,2013-01-25
30600,2013-01-26
34000,2013-01-27
34000,2013-01-28
34000,2013-01-29
34400,2013-01-30
34400,2013-01-31
34400,2013-02-01
34400,2013-02-02
33400,2013-02-03
33400,2013-02-04
33400,2013-02-05
31800,2013-02-06
31800,2013-02-07
31800,2013-02-08
29800,2013-02-09
29800,2013-02-10
29800,2013-02-11
29800,2013-02-12
29800,2013-02-13
29800,2013-02-14
29800,2013-02-15
29800,2013-02-16
29800,2013-02-17
29800,2013-02-18
29800,2013-02-19
34400,2013-02-20
34400,2013-02-21
34400,2013-02-22
33400,2013-02-23
33400,2013-02-24
33400,2013-02-25
33400,2013-02-26
33400,2013-02-27
33400,2013-02-28
34400,2013-03-01
34400,2013-03-02
34400,2013-03-03
34400,2013-03-04
34400,2013-03-05
38000,2013-03-06
38000,2013-03-07
38000,2013-03-08
39000,2013-03-09
39000,2013-03-10
39000,2013-03-11
39000,2013-03-12
46000,2013-03-13
48400,2013-03-14
48400,2013-03-15
47000,2013-03-16
47000,2013-03-17
47000,2013-03-18
47000,2013-03-19
47000,2013-03-20
46000,2013-03-21
46000,2013-03-22
46000,2013-03-23
46000,2013-03-24
46000,2013-03-25
46000,2013-03-26
46000,2013-03-27
33400,2013-03-28
47000,2013-03-29
34400,2013-03-30
50000,2013-03-31
50000,2013-04-01
50000,2013-04-02
50000,2013-04-02
50000,2013-04-02
44000,2013-04-05
44000,2013-04-06
45000,2013-04-07
45000,2013-04-08
44600,2013-04-09
44600,2013-04-10
44600,2013-04-11
44600,2013-04-12
43600,2013-04-13
43600,2013-04-14
43600,2013-04-15
43600,2013-04-16
43600,2013-04-17
43600,2013-04-18
43600,2013-04-19
43600,2013-04-20
43000,2013-04-21
43600,2013-04-22
43600,2013-04-23
43600,2013-04-24
41000,2013-04-25
41000,2013-04-26
41000,2013-04-27
38167,2013-04-28
41000,2013-04-29
41000,2013-04-30
31000,2013-05-01
27000,2013-05-02
27000,2013-05-03
27000,2013-05-04
27167,2013-05-05
27000,2013-05-06
27000,2013-05-07
27000,2013-05-08
26000,2013-05-09
26000,2013-05-10
26000,2013-05-11
21833,2013-05-12
23000,2013-05-13
23000,2013-05-14
23000,2013-05-15
23000,2013-05-16
23000,2013-05-17
23000,2013-05-18
21000,2013-05-19
22000,2013-05-20
22000,2013-05-21
22000,2013-05-22
22000,2013-05-23
24000,2013-05-24
26200,2013-05-25
25167,2013-05-26
26200,2013-05-27
26200,2013-05-28
29000,2013-05-29
29000,2013-05-30
29000,2013-05-31
33000,2013-06-01
32500,2013-06-02
33000,2013-06-03
33000,2013-06-04
30800,2013-06-05
28800,2013-06-06
27800,2013-06-07
27800,2013-06-08
27167,2013-06-09
27800,2013-06-10
27800,2013-06-11
28800,2013-06-12
28800,2013-06-13
29000,2013-06-14
29000,2013-06-15
29167,2013-06-16
29000,2013-06-17
29000,2013-06-18
30000,2013-06-19
30800,2013-06-20
30800,2013-06-21
30800,2013-06-22
30667,2013-06-23
30800,2013-06-24
35000,2013-06-25
35000,2013-06-26
35000,2013-06-27
35000,2013-06-28
35000,2013-06-29
35500,2013-06-30
35000,2013-07-01
35000,2013-07-02
59400,2013-07-03
59400,2013-07-04
59400,2013-07-05
59400,2013-07-06
56167,2013-07-07
59400,2013-07-08
59400,2013-07-09
66000,2013-07-10
66000,2013-07-11
76000,2013-07-12
76000,2013-07-13
91333,2013-07-14
100000,2013-07-15
100000,2013-07-16
66000,2013-07-17
66000,2013-07-18
79000,2013-07-19
79000,2013-07-20
79167,2013-07-21
79000,2013-07-22
79000,2013-07-23
79000,2013-07-24
79000,2013-07-25
79000,2013-07-26
79000,2013-07-27
74167,2013-07-28
79000,2013-07-29
79000,2013-07-30
79000,2013-07-31
66000,2013-08-01
66000,2013-08-02
66000,2013-08-03
60500,2013-08-04
77600,2013-08-05
77600,2013-08-06
77600,2013-08-07
